iter	Passed	Remaining
884	36808	4783
885	36841	4740
886	36880	4698
887	36919	4656
888	36959	4614
889	37004	4573
890	37053	4532
891	37100	4492
892	37154	4451
893	37213	4412
894	37273	4372
895	37337	4333
896	37406	4295
897	37490	4258
898	37581	4222
899	37671	4185
900	37760	4149
901	37857	4113
902	37944	4076
903	38029	4038
904	38114	4000
905	38202	3963
906	38283	3925
907	38367	3887
908	38457	3849
909	38541	3811
910	38624	3773
911	38709	3735
912	38795	3696
913	38867	3657
914	38949	3618
915	39033	3579
916	39115	3540
917	39199	3501
918	39286	3462
919	39372	3423
920	39460	3384
921	39549	3345
922	39633	3306
923	39715	3266
924	39789	3226
925	39875	3186
926	39964	3147
927	40044	3106
928	40125	3066
929	40197	3025
930	40265	2984
931	40333	2942
932	40397	2900
933	40459	2859
934	40524	2817
935	40588	2775
936	40653	2733
937	40727	2692
938	40806	2650
939	40880	2609
940	40952	2567
941	41025	2525
942	41098	2484
943	41177	2442
944	41252	2400
945	41321	2358
946	41390	2316
947	41469	2274
948	41537	2232
949	41606	2189
950	41676	2147
951	41743	2104
952	41815	2062
953	41891	2019
954	41967	1977
955	42046	1935
956	42128	1892
957	42217	1850
958	42298	1808
959	42376	1765
960	42447	1722
961	42516	1679
962	42583	1636
963	42654	1592
964	42718	1549
965	42793	1506
966	42865	1462
967	42940	1419
968	43018	1376
969	43094	1332
970	43172	1289
971	43244	1245
972	43311	1201
973	43377	1157
974	43447	1114
975	43515	1070
976	43584	1026
977	43649	981
978	43721	937
979	43797	893
980	43869	849
981	43939	805
982	44007	761
983	44080	716
984	44157	672
985	44234	628
986	44320	583
987	44400	539
988	44478	494
989	44547	449
990	44616	405
991	44684	360
992	44756	315
993	44834	270
994	44905	225
995	44976	180
996	45048	135
997	45122	90
998	45196	45
999	45262	0
